Name,LGL-Name,Typ,Lat,Long,Einwohner,Corona-Fälle,Stand
Neu-Ulm,Neu-Ulm,Landkreis,48.301960809844,10.1374785137895,174200,10,12.03.2020
Nürnberg,Nürnberg Stadt,Stadt,49.446007,11.07977,518365,24,12.03.2020
Nürnberger Land,Nürnberger Land,Landkreis,49.4973790087697,11.3780762901309,170365,2,12.03.2020
Oberallgäu,Oberallgäu,Landkreis,47.516255,10.277425,155362,24,12.03.2020
Ostallgäu,Ostallgäu,Landkreis,47.7370506161643,10.6130091490705,140316,10,12.03.2020
Passau,Passau Stadt,Stadt,48.57819474681,13.4197243205251,52469,3,12.03.2020
Passau,Passau,Landkreis,48.4965743086636,13.2425246801513,192043,15,12.03.2020
Pfaffenhofen an der Ilm,Pfaffenhofen a.d.Ilm,Landkreis,48.5985792965191,11.5167542695539,127151,7,12.03.2020
Regen,Regen,Landkreis,49.0203770959452,13.1271496872543,77656,6,12.03.2020
Regensburg,Regensburg Stadt,Stadt,49.0125808663994,12.1107803618816,152610,6,12.03.2020
Regensburg,Regensburg,Landkreis,49.0163286819421,12.3034382828995,193572,8,12.03.2020
Rhön-Grabfeld,Rhön-Grabfeld,Landkreis,50.3897948687147,10.2147221294157,79690,null,12.03.2020
Rosenheim,Rosenheim Stadt,Stadt,47.8440398976524,12.1099878481968,63324,1,12.03.2020
Rosenheim,Rosenheim,Landkreis,47.961946,12.204572,260983,17,12.03.2020
Roth,Roth,Landkreis,49.2187685237296,11.1181857575702,126958,4,12.03.2020
Rottal-Inn,Rottal-Inn,Landkreis,48.4301607909982,12.8727167350233,120659,14,12.03.2020
Schwabach,Schwabach Stadt,Stadt,49.327516,11.029777,40792,1,12.03.2020
Schwandorf,Schwandorf,Landkreis,49.3660738697256,12.2474850079843,147189,7,12.03.2020
Schweinfurt,Schweinfurt,Landkreis,50.045714,10.223773,54032,5,12.03.2020
Schweinfurt,Schweinfurt,Landkreis,49.9555682275557,10.3148784478878,115106,null,12.03.2020
Starnberg,Starnberg,Landkreis,48.0092406890433,11.2856243038489,136092,42,12.03.2020
Straubing,Straubing Stadt,Stadt,48.877309,12.585256,47794,4,12.03.2020
Straubing-Bogen,Straubing-Bogen,Landkreis,48.9935130644356,12.6860206221275,100649,2,12.03.2020
Tirschenreuth,Tirschenreuth,Landkreis,49.9158973015891,12.1716225057181,72504,17,12.03.2020
Traunstein,Traunstein,Landkreis,47.868936,12.637012,177089,10,12.03.2020
Unterallgäu,Unterallgäu,Landkreis,48.065251,10.485471,144041,5,12.03.2020
Weiden in der Oberpfalz,Weiden Stadt,Stadt,49.673149,12.137639,42520,6,12.03.2020
Weilheim-Schongau,Weilheim-Schongau,Landkreis,47.8043516216407,11.0426555740801,135348,13,12.03.2020
Weißenburg-Gunzenhausen,Weißenburg-Gunzenhausen,Landkreis,49.0242747528277,10.9042132680181,94393,2,12.03.2020
Wunsiedel im Fichtelgebirge,Wunsiedel im Fichtelgebirge,Landkreis,50.0842732455229,12.0329445262951,73178,null,12.03.2020
Würzburg,Würzburg Stadt,Stadt,49.784984,9.941828,127880,20,12.03.2020
Würzburg,Würzburg,Landkreis,49.6422750456956,9.97588783152048,161834,26,12.03.2020
